,Title,Movie Rating,Movie Revenue,Book Title,Book Rating,Average Votes
0,around the world in eighty days,7.8,,"Around the World in Eighty Days (Extraordinary Voyages, #11)",3.92,156130
1,body snatchers,5.9,,Invasion of the Body Snatchers,3.89,17377
2,frankenstein,7.9,,Frankenstein,3.77,992321
3,the invisible man,7.7,,Invisible Man,3.85,139972
4,journey to the center of the earth,5.8,101653320.0,"Journey to the Center of the Earth (Extraordinary Voyages, #3)",3.85,126382
5,the mysterious island,6.0,,"The Mysterious Island (Extraordinary Voyages, #12)",4.1,38413
6,nineteen eighty-four,7.6,,Nineteen Eighty-Four,4.16,2486828
7,planet of the apes,5.7,178094583.0,Planet of the Apes,3.93,28725
8,twenty thousand leagues under the sea,6.0,,"Twenty Thousand Leagues Under the Sea (Extraordinary Voyages, #6)",3.87,167476
9,village of the damned,5.6,,Retirement Village of the Damned,3.17,6
10,village of the damned,5.6,,Retirement Village of the Damned,3.17,6
11,the war of the worlds,7.2,,The War of the Worlds,3.81,206345
12,witch mountain,5.7,67128202.0,Escape to Witch Mountain,3.88,2996
13,the 5th wave,5.2,,"The 5th Wave (The 5th Wave, #1)",4.07,338308
14,the 27th day,6.2,,The 27th Day,3.46,39
15,2010: the year we make contact,,,2010: The Year We Make Contact,4.67,6
16,"20,000 leagues under the sea",7.2,,"20,000 Leagues Under the Sea",3.84,1779
17,action replayy,,,Action Replayy,0.0,0
18,aelita,,,Aelita,3.65,926
19,altered states,6.9,,"Altered States (Altered States, #0.5)",3.6,653
20,amphibian man,7.2,,The Amphibian,4.14,3130
21,the andromeda nebula,,,Andromeda Nebula,4.0,2
22,the andromeda strain,7.2,,The Andromeda Strain,3.89,196563
23,anna to the infinite power,6.6,,Anna to the Infinite Power,3.91,549
24,annihilation,6.9,20636742.0,"Annihilation (Southern Reach, #1)",3.67,116115
25,atlas shrugged,5.7,4563873.0,Atlas Shrugged (SparkNotes Literature Guides),3.45,20
26,atlas shrugged: part i,5.7,4563873.0,"Atlas Shrugged, Part A",4.19,2350
27,atlas shrugged: part ii,,,,,
28,atlas shrugged part iii: who is john galt?,,,,,
29,atragon,6.1,,Atragon,0.0,0
30,babylon a.d.,5.6,22489779.0,Babylon A.D.,3.35,486
31,battle royale,7.7,,Battle Royale,4.25,45979
32,battlefield earth,2.5,,Battlefield Earth: A Saga of the Year 3000,3.51,15360
33,the beastmaster,6.2,,"Blademage Beastmaster (Blademage, #1)",3.85,410
34,bicentennial man,6.9,,The Bicentennial Man and Other Stories,4.08,10431
35,"bill, the galactic hero",5.3,,"Bill, the Galactic Hero (Bill, the Galactic Hero, #1)",3.59,3610
36,bird box,6.7,,Bird Box,4.03,78143
37,blackbirds at bangpleng,,,,,
38,blueprint,5.6,,Blueprints,3.72,6219
39,the boys from brazil,7.0,,The Boys from Brazil,4.06,30129
40,brave new world,5.3,,Brave New World,3.98,1225092
41,buddha's little finger,5.4,,Buddha's Little Finger,4.26,4002
42,by dawn's early light,7.1,,Dawn's Early Light (Williamsburg #1),4.26,1169
43,carnosaur,3.5,,Carnosaur,3.34,96
44,cell,4.3,,Cell,3.65,171139
45,chaos walking,,,"The Knife of Never Letting Go (Chaos Walking, #1)",3.97,129876
46,charly,7.1,,The Library at Mount Char,4.08,23199
47,charodei,7.3,,Charodei ponevole,0.0,0
48,children of men,7.9,35100000.0,The Children of Men,3.68,35227
49,children of the damned,6.2,,"Revenger, Vol. 1: Children of the Damned",3.63,41
50,the circle,5.3,20476300.0,The Circle,3.44,160744
51,city of ember,6.5,7800000.0,"The City of Ember (Book of Ember, #1)",3.86,220889
52,a clockwork orange,8.3,,A Clockwork Orange,3.99,517714
53,cloud atlas,7.5,22100000.0,Cloud Atlas,4.02,189801
54,cocoon,6.7,,Cocoon,3.95,317
55,colossus: the forbin project,7.2,,"Films Directed by Joseph Sargent (Study Guide): Jaws: The Revenge, the Taking of Pelham One Two Three, Colossus: The Forbin Project, Nightmares",0.0,0
56,congo,5.1,,Congo,3.58,144044
57,the congress,6.5,,The Futurological Congress: From the Memoirs of Ijon Tichy,4.21,7791
58,conquest of space,5.8,,The Conquest of Space,4.23,31
59,contact 1997 american,,,"Focus On: Search for Extraterrestrial Intelligence: Fermi Paradox, Kardashev Scale, Wow! Signal, Dyson Sphere, Contact (1997 American film), Voyager Golden ... Pioneer Plaque, Arecibo Message, etc.",0.0,0
60,countdown,6.0,,Countdown,3.72,1610
61,damnation alley,5.2,,Damnation Alley,3.55,4046
62,dandelion wine,,,Dandelion Wine,4.09,46040
63,dark planet,5.2,,"Dark Planet Falling (Dark Planet Warriors, #2)",4.07,2042
64,the darkest minds,5.6,,"The Darkest Minds (The Darkest Minds, #1)",4.21,120133
65,the day of the dolphin,6.1,,The Day of the Dolphin,3.83,749
66,the day of the triffids,6.1,,The Day of the Triffids,4.01,75896
67,days of eclipse,7.3,,"Lietuvos Roko Atlik Jai: Andrius Mamontovas, Days of Eclipse, Antis, LT United, Atalyja, Amberlife, Gyvai, Poliarizuoti Stiklai",0.0,0
68,dead mountaineer's hotel,,,The Dead Mountaineer Hotel,0.0,0
