Book Title,Book Rating,Average Votes,Title
"Around the World in Eighty Days (Extraordinary Voyages, #11)",3.92,156130,around the world in eighty days
Invasion of the Body Snatchers,3.89,17377,body snatchers
Frankenstein,3.77,992321,frankenstein
Invisible Man,3.85,139972,the invisible man
"Journey to the Center of the Earth (Extraordinary Voyages, #3)",3.85,126382,journey to the center of the earth
"The Mysterious Island (Extraordinary Voyages, #12)",4.1,38413,the mysterious island
Nineteen Eighty-Four,4.16,2486828,nineteen eighty-four
Planet of the Apes,3.93,28725,planet of the apes
"Twenty Thousand Leagues Under the Sea (Extraordinary Voyages, #6)",3.87,167476,twenty thousand leagues under the sea
Retirement Village of the Damned,3.17,6,village of the damned
The War of the Worlds,3.81,206345,the war of the worlds
Escape to Witch Mountain,3.88,2996,witch mountain
"The 5th Wave (The 5th Wave, #1)",4.07,338308,the 5th wave
The 27th Day,3.46,39,the 27th day
2010: The Year We Make Contact,4.67,6,2010: the year we make contact
"20,000 Leagues Under the Sea",3.84,1779,"20,000 leagues under the sea"
Action Replayy,0.0,0,action replayy
Aelita,3.65,926,aelita
"Altered States (Altered States, #0.5)",3.6,653,altered states
The Amphibian,4.14,3130,amphibian man
Andromeda Nebula,4.0,2,the andromeda nebula
The Andromeda Strain,3.89,196563,the andromeda strain
Anna to the Infinite Power,3.91,549,anna to the infinite power
"Annihilation (Southern Reach, #1)",3.67,116115,annihilation
Atlas Shrugged (SparkNotes Literature Guides),3.45,20,atlas shrugged
"Atlas Shrugged, Part A",4.19,2350,atlas shrugged: part i
Atragon,0.0,0,atragon
Babylon A.D.,3.35,486,babylon a.d.
Battle Royale,4.25,45979,battle royale
Battlefield Earth: A Saga of the Year 3000,3.51,15360,battlefield earth
"Blademage Beastmaster (Blademage, #1)",3.85,410,the beastmaster
The Bicentennial Man and Other Stories,4.08,10431,bicentennial man
"Bill, the Galactic Hero (Bill, the Galactic Hero, #1)",3.59,3610,"bill, the galactic hero"
Bird Box,4.03,78143,bird box
Blueprints,3.72,6219,blueprint
The Boys from Brazil,4.06,30129,the boys from brazil
Brave New World,3.98,1225092,brave new world
Buddha's Little Finger,4.26,4002,buddha's little finger
Dawn's Early Light (Williamsburg #1),4.26,1169,by dawn's early light
Carnosaur,3.34,96,carnosaur
Cell,3.65,171139,cell
"The Knife of Never Letting Go (Chaos Walking, #1)",3.97,129876,chaos walking
The Library at Mount Char,4.08,23199,charly
Charodei ponevole,0.0,0,charodei
The Children of Men,3.68,35227,children of men
"Revenger, Vol. 1: Children of the Damned",3.63,41,children of the damned
The Circle,3.44,160744,the circle
"The City of Ember (Book of Ember, #1)",3.86,220889,city of ember
A Clockwork Orange,3.99,517714,a clockwork orange
Cloud Atlas,4.02,189801,cloud atlas
Cocoon,3.95,317,cocoon
"Films Directed by Joseph Sargent (Study Guide): Jaws: The Revenge, the Taking of Pelham One Two Three, Colossus: The Forbin Project, Nightmares",0.0,0,colossus: the forbin project
Congo,3.58,144044,congo
The Futurological Congress: From the Memoirs of Ijon Tichy,4.21,7791,the congress
The Conquest of Space,4.23,31,conquest of space
"Focus On: Search for Extraterrestrial Intelligence: Fermi Paradox, Kardashev Scale, Wow! Signal, Dyson Sphere, Contact (1997 American film), Voyager Golden ... Pioneer Plaque, Arecibo Message, etc.",0.0,0,contact 1997 american
Countdown,3.72,1610,countdown
Damnation Alley,3.55,4046,damnation alley
Dandelion Wine,4.09,46040,dandelion wine
"Dark Planet Falling (Dark Planet Warriors, #2)",4.07,2042,dark planet
"The Darkest Minds (The Darkest Minds, #1)",4.21,120133,the darkest minds
The Day of the Dolphin,3.83,749,the day of the dolphin
The Day of the Triffids,4.01,75896,the day of the triffids
"Lietuvos Roko Atlik Jai: Andrius Mamontovas, Days of Eclipse, Antis, LT United, Atalyja, Amberlife, Gyvai, Poliarizuoti Stiklai",0.0,0,days of eclipse
The Dead Mountaineer Hotel,0.0,0,dead mountaineer's hotel
"Homeward Bound (Deathlands, #5)",3.83,406,deathlands: homeward bound
The Deluge,3.49,293,deluge
Demon Seed,3.4,12703,demon seed
"Destination Moon (Tintin, #16)",4.17,11087,destination moon
"Divergent (Divergent, #1)",4.21,2531033,divergent
"The World of Divergent: The Path to Allegiant (Divergent, #2.5)",3.97,30336,the divergent series: allegiant
"Divergent Series (Divergent, Insurgent, Allegiant): by Veronica Roth -- Sidekick",4.46,61,the divergent series: insurgent
Nightmares and Dreamscapes,3.92,65950,dreamscape
"Dune (Dune Chronicles, #1)",4.21,597667,dune
"Eagle Eye (Shadows in the Dark, #6)",0.0,0,eagle eye
