,books,rating,average_votes
0,"Around the World in Eighty Days (Extraordinary Voyages, #11)",3.92,156095
1,Invasion of the Body Snatchers,3.89,17372
2,Frankenstein,3.77,992097
3,Invisible Man,3.85,139953
4,"Journey to the Center of the Earth (Extraordinary Voyages, #3)",3.85,126361
5,"The Mysterious Island (Extraordinary Voyages, #12)",4.1,38405
6,Nineteen Eighty-Four,4.16,2486019
7,Planet of the Apes,3.93,28719
8,"Twenty Thousand Leagues Under the Sea (Extraordinary Voyages, #6)",3.87,167437
9,Retirement Village of the Damned,3.17,6
10,The War of the Worlds,3.81,206289
11,Escape to Witch Mountain,3.88,2996
12,"The 5th Wave (The 5th Wave, #1)",4.08,338249
13,The 27th Day,3.46,39
14,2010: The Year We Make Contact,4.67,6
15,"20,000 Leagues Under the Sea",3.84,1779
16,Action Replayy,0.0,0
17,Aelita,3.65,926
18,"Altered States (Altered States, #0.5)",3.6,653
19,The Amphibian,4.14,3130
20,Andromeda Nebula,4.0,2
21,The Andromeda Strain,3.89,196536
22,Anna to the Infinite Power,3.91,549
23,"Annihilation (Southern Reach, #1)",3.67,116042
24,Atlas Shrugged (SparkNotes Literature Guides),3.45,20
25,"Atlas Shrugged, Part A",4.19,2349
26,Atragon,0.0,0
27,Babylon A.D.,3.35,486
28,Battle Royale,4.25,45972
29,Battlefield Earth: A Saga of the Year 3000,3.51,15360
30,"Blademage Beastmaster (Blademage, #1)",3.85,410
31,The Bicentennial Man and Other Stories,4.08,10430
32,"Bill, the Galactic Hero (Bill, the Galactic Hero, #1)",3.59,3608
33,Bird Box,4.03,77869
34,Blueprints,3.72,6217
35,The Boys from Brazil,4.06,30124
36,Brave New World,3.98,1224798
37,Buddha's Little Finger,4.26,4002
38,Dawn's Early Light (Williamsburg #1),4.26,1169
39,Carnosaur,3.34,96
40,Cell,3.65,171105
41,"The Knife of Never Letting Go (Chaos Walking, #1)",3.97,129849
42,The Library at Mount Char,4.08,23188
43,Charodei ponevole,0.0,0
44,The Children of Men,3.68,35226
45,"Revenger, Vol. 1: Children of the Damned",3.63,41
46,The Circle,3.44,160697
47,"The City of Ember (Book of Ember, #1)",3.86,220872
48,A Clockwork Orange,3.99,517576
49,Cloud Atlas,4.02,189776
50,Cocoon,3.95,317
51,"Films Directed by Joseph Sargent (Study Guide): Jaws: The Revenge, the Taking of Pelham One Two Three, Colossus: The Forbin Project, Nightmares",0.0,0
52,Congo,3.58,144024
53,The Futurological Congress: From the Memoirs of Ijon Tichy,4.21,7789
54,The Conquest of Space,4.23,31
55,"Focus On: Search for Extraterrestrial Intelligence: Fermi Paradox, Kardashev Scale, Wow! Signal, Dyson Sphere, Contact (1997 American film), Voyager Golden ... Pioneer Plaque, Arecibo Message, etc.",0.0,0
56,Countdown,3.72,1610
57,Damnation Alley,3.55,4046
58,Dandelion Wine,4.09,46032
59,"Dark Planet Falling (Dark Planet Warriors, #2)",4.07,2041
60,"The Darkest Minds (The Darkest Minds, #1)",4.21,120077
61,The Day of the Dolphin,3.83,749
62,The Day of the Triffids,4.01,75870
63,"Lietuvos Roko Atlik Jai: Andrius Mamontovas, Days of Eclipse, Antis, LT United, Atalyja, Amberlife, Gyvai, Poliarizuoti Stiklai",0.0,0
