,movie,books,rating,average_votes
0,Around the World in Eighty Days,"Around the World in Eighty Days (Extraordinary Voyages, #11)",3.92,156130
1,Body Snatchers ,Invasion of the Body Snatchers,3.89,17377
2,Frankenstein,Frankenstein,3.77,992321
3,The Invisible Man,Invisible Man,3.85,139972
4, Journey to the Center of the Earth,"Journey to the Center of the Earth (Extraordinary Voyages, #3)",3.85,126382
5,The Mysterious Island,"The Mysterious Island (Extraordinary Voyages, #12)",4.1,38413
6,Nineteen Eighty-Four,Nineteen Eighty-Four,4.16,2486828
7,Planet of the Apes ,Planet of the Apes,3.93,28725
8,Twenty Thousand Leagues Under the Sea,"Twenty Thousand Leagues Under the Sea (Extraordinary Voyages, #6)",3.87,167476
9,Village of the Damned ,Retirement Village of the Damned,3.17,6
10,The War of the Worlds,The War of the Worlds,3.81,206345
11,Witch Mountain ,Escape to Witch Mountain,3.88,2996
12,The 5th Wave ,"The 5th Wave (The 5th Wave, #1)",4.07,338308
13,The 27th Day,The 27th Day,3.46,39
14,2010: The Year We Make Contact,2010: The Year We Make Contact,4.67,6
15,"20,000 Leagues Under the Sea ","20,000 Leagues Under the Sea",3.84,1779
16,Action Replayy,Action Replayy,0.0,0
17,Aelita,Aelita,3.65,926
18,Altered States,"Altered States (Altered States, #0.5)",3.6,653
19,Amphibian Man,The Amphibian,4.14,3130
20,The Andromeda Nebula,Andromeda Nebula,4.0,2
21,The Andromeda Strain ,The Andromeda Strain,3.89,196563
22,Anna to the Infinite Power,Anna to the Infinite Power,3.91,549
23,Annihilation ,"Annihilation (Southern Reach, #1)",3.67,116115
24,Atlas Shrugged  series,Atlas Shrugged (SparkNotes Literature Guides),3.45,20
25,Atlas Shrugged: Part I,"Atlas Shrugged, Part A",4.19,2350
26,Atragon,Atragon,0.0,0
27,Babylon A.D.,Babylon A.D.,3.35,486
28,Battle Royale ,Battle Royale,4.25,45979
29,Battlefield Earth ,Battlefield Earth: A Saga of the Year 3000,3.51,15360
30,The Beastmaster,"Blademage Beastmaster (Blademage, #1)",3.85,410
31,Bicentennial Man ,The Bicentennial Man and Other Stories,4.08,10431
32,"Bill, the Galactic Hero ","Bill, the Galactic Hero (Bill, the Galactic Hero, #1)",3.59,3610
33,Bird Box ,Bird Box,4.03,78143
34,Blueprint ,Blueprints,3.72,6219
35,The Boys from Brazil ,The Boys from Brazil,4.06,30129
36,Brave New World  ,Brave New World,3.98,1225092
37,Buddha's Little Finger ,Buddha's Little Finger,4.26,4002
38,By Dawn's Early Light,Dawn's Early Light (Williamsburg #1),4.26,1169
39,Carnosaur ,Carnosaur,3.34,96
40,Cell ,Cell,3.65,171139
41,Chaos Walking ,"The Knife of Never Letting Go (Chaos Walking, #1)",3.97,129876
42,Charly,The Library at Mount Char,4.08,23199
43,Charodei,Charodei ponevole,0.0,0
44,Children of Men,The Children of Men,3.68,35227
45,Children of the Damned,"Revenger, Vol. 1: Children of the Damned",3.63,41
46,The Circle  ,The Circle,3.44,160744
47,City of Ember,"The City of Ember (Book of Ember, #1)",3.86,220889
48,A Clockwork Orange ,A Clockwork Orange,3.99,517714
49,Cloud Atlas ,Cloud Atlas,4.02,189801
50,Cocoon ,Cocoon,3.95,317
51,Colossus: The Forbin Project,"Films Directed by Joseph Sargent (Study Guide): Jaws: The Revenge, the Taking of Pelham One Two Three, Colossus: The Forbin Project, Nightmares",0.0,0
52,Congo ,Congo,3.58,144044
53,The Congress  ,The Futurological Congress: From the Memoirs of Ijon Tichy,4.21,7791
54,Conquest of Space,The Conquest of Space,4.23,31
55,Contact 1997 American ,"Focus On: Search for Extraterrestrial Intelligence: Fermi Paradox, Kardashev Scale, Wow! Signal, Dyson Sphere, Contact (1997 American film), Voyager Golden ... Pioneer Plaque, Arecibo Message, etc.",0.0,0
56,Countdown  ,Countdown,3.72,1610
57,Damnation Alley ,Damnation Alley,3.55,4046
58,Dandelion Wine ,Dandelion Wine,4.09,46040
59,Dark Planet ,"Dark Planet Falling (Dark Planet Warriors, #2)",4.07,2042
60,The Darkest Minds,"The Darkest Minds (The Darkest Minds, #1)",4.21,120133
61,The Day of the Dolphin,The Day of the Dolphin,3.83,749
62,The Day of the Triffids ,The Day of the Triffids,4.01,75896
63,Days of Eclipse,"Lietuvos Roko Atlik Jai: Andrius Mamontovas, Days of Eclipse, Antis, LT United, Atalyja, Amberlife, Gyvai, Poliarizuoti Stiklai",0.0,0
64,Dead Mountaineer's Hotel ,The Dead Mountaineer Hotel,0.0,0
65,Deathlands: Homeward Bound,"Homeward Bound (Deathlands, #5)",3.83,406
66,Deluge ,The Deluge,3.49,293
67,Demon Seed,Demon Seed,3.4,12703
68,Destination Moon ,"Destination Moon (Tintin, #16)",4.17,11087
69,Divergent ,"Divergent (Divergent, #1)",4.21,2531033
70,The Divergent Series: Allegiant,"The World of Divergent: The Path to Allegiant (Divergent, #2.5)",3.97,30336
71,The Divergent Series: Insurgent,"Divergent Series (Divergent, Insurgent, Allegiant): by Veronica Roth -- Sidekick",4.46,61
72,Dreamscape  ,Nightmares and Dreamscapes,3.92,65950
73,Dune ,"Dune (Dune Chronicles, #1)",4.21,597667
74,Eagle Eye,"Eagle Eye (Shadows in the Dark, #6)",0.0,0
75,Earth vs. the Flying Saucers,Earth vs. the Flying Saucers,0.0,0
76,Edge of Tomorrow,The Edge of Tomorrow,3.94,1057
77,The End of Eternity ,The End of Eternity,4.23,37023
78,Ender's Game ,"Ender's Game (Ender's Saga, #1)",4.3,982524
79,Escape to Witch Mountain  ,Escape to Witch Mountain,3.88,2996
80,F.P.1,Twenty Thousand Leagues Under the Sea,3.87,167478
81,The Face of Another ,The Face of Another,3.78,2717
82,Fahrenheit 451  ,Fahrenheit 451,3.98,1355170
83,Fantastic Planet,Fantastic Planet,3.43,21
84,Fatherland  ,Fatherland,3.97,28586
85,The Final Programme ,The Final Programme,3.54,728
86,Four Sided Triangle,Four-Sided Triangle,3.6,30
87,Freejack,Freejack,3.82,1799
88,The Girl Who Leapt Through Time  ,The Girl Who Leapt Through Time,3.34,1607
89,The Girl with All the Gifts ,"The Girl With All the Gifts (The Girl With All the Gifts, #1)",3.94,157509
90,The Giver ,The Giver,4.12,1485533
91,The Gladiator  ,"Gladiator (Galactic Gladiators, #1)",4.0,2265
92,Goldengirl,Goldengirl,3.27,44
93,Gor ,Tarnsman of Gor (Gor #1),3.41,3586
94,Guest from the Future,The Guest from the Future: Anna Akhmatova and Isaiah Berlin,3.84,19
95,The Handmaid's Tale ,The Handmaid's Tale,4.09,996490
96,Hard to Be a God  ,Hard to Be a God,4.22,8061
97,Harrison Bergeron ,Harrison Bergeron,4.22,12163
98,The High Crusade,The High Crusade,3.9,3121
99,The Hitchhiker's Guide to the Galaxy ,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",4.22,1184113
100,The Host  ,"The Host (The Host, #1)",3.84,816711
101,The Hunger Games  series,The Hunger Games Series (A BookCaps Study Guide),4.34,67
102,I Am Legend ,I Am Legend,4.06,74747
103,I Am Number Four ,"I Am Number Four (Lorien Legacies, #1)",3.94,290823
104,I Am Omega,I Am Legend,4.06,74747
105,In Search of the Castaways ,"In Search of the Castaways; or the Children of Captain Grant (Extraordinary Voyages, #5)",4.08,9197
106,The Incredible Shrinking Man,The Incredible Shrinking Man,3.83,6
107,The Incredible Shrinking Woman,The Incredible Shrinking Woman,2.67,6
108,The Iron Giant,The Art of the Iron Giant - CANCELLED,4.28,46
109,The Iron Heel ,The Iron Heel,3.75,6876
110,The Island at the Top of the World,Island At The Top Of The World,3.85,127
111,Jumper  ,"Jumper (Jumper, #1)",3.9,12140
112,Jurassic Park ,"Jurassic Park (Jurassic Park, #1)",4.0,716286
113,K-PAX ,"K-Pax (K-Pax, #1)",4.09,2382
114,The Land That Time Forgot  ,"The Land That Time Forgot (Caspak, #1)",3.81,2377
115,The Last Man on Earth  ,"The Last Man on Earth (The Graysons, #1)",3.42,826
116,Lathe of Heaven ,The Lathe of Heaven,4.1,41770
117,The Lathe of Heaven ,The Lathe of Heaven,4.1,41770
118,Lifeforce ,Hippocrates Lifeforce: Superior Health and Longevity,4.26,35
119,Logan's Run ,"Logan's Run (Logan, #1)",3.67,9072
120,The Lost World: Jurassic Park,The Lost World (Jurassic Park #2),3.76,104826
121,Les Maîtres du temps,Le Maître Du Temps,4.33,3
122,The Man Who Fell to Earth,The Man Who Fell to Earth,4.03,5035
123,Marooned  ,"Marooned in Realtime (Across Realtime, #2)",4.08,4670
124,The Martian ,The Martian,4.4,652644
125,The Maze Runner ,"The Maze Runner (The Maze Runner, #1)",4.03,872243
126,Maze Runner: The Death Cure,Maze Runner: The Death Cure: The Official Graphic Novel Prelude,3.92,106
127,Maze Runner: The Scorch Trials,Maze Runner: The Scorch Trials: The Official Graphic Novel Prelude,3.92,2624
128,The Meg,"Meg (MEG, #1)",3.75,15651
129,Memoirs of an Invisible Man ,Memoirs of an Invisible Man,4.11,1465
130,Metropolis  ,"Dark Metropolis (Dark Metropolis, #1)",3.43,1116
131,Millennium ,"The Girl with the Dragon Tattoo (Millennium, #1)",4.13,2224337
132,Mission Stardust,The Extended Mission of Stardust Four Zero,3.0,1
133,Mortal Engines ,Mortal Engines,3.83,1984
134,Mr. Murder ,Mr. Murder,3.74,22333
135,Never Let Me Go  ,Never Let Me Go,3.81,386767
136,Night of the Big Heat ,Night Of The Big Heat,3.44,18
137,Oasis  ,The Hidden Oasis,3.78,2155
138,The Omega Man,"Omega, the Man",3.29,17
139,On the Silver Globe ,Tarzan And The Silver Globe ..,2.83,6
140,Paprika  ,Paprika,3.26,2019
